title,author,price,img
"STEM CookBook, 문제 해결력을 키우는 정역학",오충석,30000,https://www.hanbit.co.kr/data/books/B2499110389_m.jpg
최신 관리회계,"정재권 , 서한결 , 곽종민",28000,https://www.hanbit.co.kr/data/books/B7623190015_m.jpg
"IT CookBook, 처음 만나는 회로이론(2판)",방성완,23000,https://www.hanbit.co.kr/data/books/B3148701816_m.jpg
안전필수 시스템 제어 설계,"김국헌 , 김태효 , 이성섭",38000,https://www.hanbit.co.kr/data/books/B2591303726_m.jpg
"IT CookBook, C로 배우는 쉬운 자료구조(4판)",이지영,29000,https://www.hanbit.co.kr/data/books/B3006151946_m.jpg
"IT CookBook, 디지털 콘텐츠 기획(2판)",김성은,30000,https://www.hanbit.co.kr/data/books/B2388883228_m.jpg
"IT CookBook, 쉽게 배우는 소프트웨어 공학(2판)",김치수,30000,https://www.hanbit.co.kr/data/books/B4766499846_m.jpg
"IT CookBook, 컴퓨터 구조와 원리 3.0",신종홍,29000,https://www.hanbit.co.kr/data/books/B1904486238_m.jpg
"IT CookBook, 난생처음 파이썬 프로그래밍","우재남 , 최민아",24000,https://www.hanbit.co.kr/data/books/B7132069963_m.jpg
"IT CookBook, 정보 보안 개론(4판)",양대일,30000,https://www.hanbit.co.kr/data/books/B8742050283_m.jpg
"IT CookBook, 최신 기술 동향으로 알아보는 ICT와 4차 산업혁명","김용태 , 정윤수 , 박길철",24000,https://www.hanbit.co.kr/data/books/B2500085297_m.jpg
"STEM CookBook, 한 걸음씩 알아가는 선형대수학",Kuldeep Singh,32000,https://www.hanbit.co.kr/data/books/B5696471156_m.jpg
"STEM CookBook, 해석학 첫걸음",스티븐 애벗(Stephen Abbott),26000,https://www.hanbit.co.kr/data/books/B4712980610_m.jpg
"IT CookBook, 익스플로링 아두이노(2판)",JEREMY BLUM,32000,https://www.hanbit.co.kr/data/books/B7197534022_m.jpg
"IT CookBook, 난생처음 인공지능 입문",서지영,25000,https://www.hanbit.co.kr/data/books/B6772148484_m.jpg
제대로 작성하는 논문 : 시작부터 마무리까지,"노경섭 , 김정욱",20000,https://www.hanbit.co.kr/data/books/B2688599320_m.jpg
수학이 외계어처럼 들리는 이공계생을 위한 제로 수학,"김우섭(소동) , 강민범",22000,https://www.hanbit.co.kr/data/books/B4963691938_m.jpg
"STEM CookBook, 기초 선형대수학(2판)","이광연 , 설한국 , 김진수",26000,https://www.hanbit.co.kr/data/books/B4302601747_m.jpg
"STEM CookBook, 이공계생을 위한 확률과 통계(2판)","안승철 , 이광연 , 박기섭",25000,https://www.hanbit.co.kr/data/books/B5226000736_m.jpg
"IT CookBook,  문제해결을 위한 컴퓨팅 사고와 파이썬",김지연,24000,https://www.hanbit.co.kr/data/books/B1053207646_m.jpg
"IT CookBook, 컴퓨터 활용과 실습 2019","김경희 , 김혜란",25000,https://www.hanbit.co.kr/data/books/B1872121392_m.jpg
누워서 읽는 통계학,"와쿠이 요시유키 , 와쿠이 사다미",19800,https://www.hanbit.co.kr/data/books/B9477508508_m.jpg
만만한 통계 : R 활용,"닐 J. 샐카인드 , 레슬리 A. 쇼",28000,https://www.hanbit.co.kr/data/books/B1073758476_m.jpg
4차 산업혁명 시대를 위한 e-비즈니스 개론(4판),이동훈,27000,https://www.hanbit.co.kr/data/books/B6808882615_m.jpg
한글처럼 쉬운 중국어,"김원재 , 강은주",18000,https://www.hanbit.co.kr/data/books/B2721953104_m.jpg
회계원리,"이기호 , 이정엽 , 전홍준",23000,https://www.hanbit.co.kr/data/books/B9801285644_m.jpg
알기쉬운 회계원리의 기초(3판),"김혁 , 윤승준 , 이원강",26000,https://www.hanbit.co.kr/data/books/B6194552090_m.jpg
최신 원가회계,"정재권 , 서한결 , 곽종민",28000,https://www.hanbit.co.kr/data/books/B8317619863_m.jpg
"IT CookBook, C 언어 일취월장(2판)",신윤환,28000,https://www.hanbit.co.kr/data/books/B9718869266_m.jpg
소비자행동,김학윤,35000,https://www.hanbit.co.kr/data/books/B3127312955_m.jpg
"Numerical Methods for Engineers, 8th Edition","Steven Chapra , Raymond Canale",45000,https://www.hanbit.co.kr/data/books/B5762394070_m.jpg
"IT CookBook, SQL Server로 배우는 데이터베이스 개론과 실습(2판)","박우창 , 남송휘 , 이현룡",29000,https://www.hanbit.co.kr/data/books/B4024148490_m.jpg
"IT CookBook, 손에 잡히는 데이터 통신",임석구,29000,https://www.hanbit.co.kr/data/books/B8497885322_m.jpg
"IT CookBook, 파이썬 자료구조와 알고리즘 for Beginner",우재남,27000,https://www.hanbit.co.kr/data/books/B4186876690_m.jpg
"STEM CookBook, 대학물리학(5판)",Alan Giambattista,43000,https://www.hanbit.co.kr/data/books/B5747914873_m.jpg
"STEM CookBook, 재료역학(2판)","Anthony Bedford , Kenneth M. Liechti",38000,https://www.hanbit.co.kr/data/books/B3532160882_m.jpg
창업을 디자인하라(2판),유순근,29000,https://www.hanbit.co.kr/data/books/B7003679813_m.jpg
"IT CookBook, 디지털 회로 실험 with PSpice",홍순관,22000,https://www.hanbit.co.kr/data/books/B7259300237_m.jpg
데이터 과학을 위한 기초수학 with 파이썬,이병준,26000,https://www.hanbit.co.kr/data/books/B2312495638_m.jpg
