연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2022,12,읍면동,경기도 고양시 일산서구 주엽1동,27255,1533,2991,3467,3241,4231,5024,3463,1658,1438,199,10,12780,776,1543,1748,1560,1916,2313,1668,686,492,76,2,14475,757,1448,1719,1681,2315,2711,1795,972,946,123,8
2022,12,읍면동,경기도 고양시 일산서구 주엽2동,27914,1697,3001,3362,3199,4342,5058,3630,1859,1522,239,5,13041,866,1506,1678,1569,1986,2325,1788,712,528,82,1,14873,831,1495,1684,1630,2356,2733,1842,1147,994,157,4
2022,12,읍면동,경기도 고양시 일산서구 탄현1동,30639,2192,2952,4555,3948,4828,6274,3398,1343,977,166,6,15059,1132,1506,2345,1991,2342,3043,1784,540,331,43,2,15580,1060,1446,2210,1957,2486,3231,1614,803,646,123,4
2022,12,읍면동,경기도 고양시 일산서구 탄현2동,19542,1749,2248,2261,2545,3504,3385,2183,975,607,82,3,9420,888,1151,1152,1218,1681,1615,1055,406,229,24,1,10122,861,1097,1109,1327,1823,1770,1128,569,378,58,2
2022,12,시군,경기도 과천시 ,77775,7235,7456,9776,11550,11815,12988,9964,4295,2271,416,9,38224,3744,3822,5041,5708,5804,6257,4887,1975,873,110,3,39551,3491,3634,4735,5842,6011,6731,5077,2320,1398,306,6
2022,12,읍면동,경기도 과천시 갈현동,20892,2646,2550,2306,3003,3752,3290,1988,800,482,74,1,10173,1371,1260,1171,1353,1836,1646,994,333,183,26,0,10719,1275,1290,1135,1650,1916,1644,994,467,299,48,1
2022,12,읍면동,경기도 과천시 과천동,8991,555,526,1141,1560,1270,1444,1450,694,302,49,0,4661,267,290,619,879,700,721,703,332,140,10,0,4330,288,236,522,681,570,723,747,362,162,39,0
2022,12,읍면동,경기도 과천시 문원동,7313,468,707,1030,946,1057,1287,946,566,261,44,1,3572,244,380,527,512,511,625,430,246,88,9,0,3741,224,327,503,434,546,662,516,320,173,35,1
2022,12,읍면동,경기도 과천시 별양동,14751,1313,1457,1899,2107,2220,2471,2002,775,422,83,2,7185,656,757,970,1018,1073,1159,988,383,153,27,1,7566,657,700,929,1089,1147,1312,1014,392,269,56,1
2022,12,읍면동,경기도 과천시 부림동,14910,1434,1304,1929,2479,2105,2541,1855,776,402,84,1,7333,773,675,993,1222,1022,1221,910,344,152,21,0,7577,661,629,936,1257,1083,1320,945,432,250,63,1
2022,12,읍면동,경기도 과천시 중앙동,10918,819,912,1471,1455,1411,1955,1723,684,402,82,4,5300,433,460,761,724,662,885,862,337,157,17,2,5618,386,452,710,731,749,1070,861,347,245,65,2
2022,12,시군,경기도 광명시 ,288182,20408,29165,34965,38532,48660,48620,39997,18256,8372,1166,41,141784,10399,14973,18124,19714,23904,24194,18991,8317,2900,261,7,146398,10009,14192,16841,18818,24756,24426,21006,9939,5472,905,34
2022,12,읍면동,경기도 광명시 광명1동,64,0,4,1,7,12,22,12,4,2,0,0,36,0,3,0,5,7,12,7,2,0,0,0,28,0,1,1,2,5,10,5,2,2,0,0
2022,12,읍면동,경기도 광명시 광명2동,2994,84,181,351,351,389,546,587,349,146,10,0,1516,50,97,195,203,205,281,271,163,47,4,0,1478,34,84,156,148,184,265,316,186,99,6,0
2022,12,읍면동,경기도 광명시 광명3동,9685,289,617,1117,1146,1266,1821,1908,1007,465,48,1,4707,142,331,587,656,645,887,852,424,174,9,0,4978,147,286,530,490,621,934,1056,583,291,39,1
2022,12,읍면동,경기도 광명시 광명4동,12182,521,777,1438,1560,1626,2134,2345,1212,498,69,2,5994,255,392,755,839,842,1069,1093,561,171,17,0,6188,266,385,683,721,784,1065,1252,651,327,52,2
2022,12,읍면동,경기도 광명시 광명5동,12051,656,1069,1443,1402,1961,2007,1997,1024,442,50,0,5901,345,559,782,720,978,972,918,462,154,11,0,6150,311,510,661,682,983,1035,1079,562,288,39,0
2022,12,읍면동,경기도 광명시 광명6동,11572,868,1189,1274,1410,1940,1969,1725,831,333,33,0,5710,422,619,647,733,959,970,828,395,131,6,0,5862,446,570,627,677,981,999,897,436,202,27,0
2022,12,읍면동,경기도 광명시 광명7동,20884,1507,1673,2548,3053,3226,3434,3274,1494,597,75,3,10283,738,837,1350,1546,1675,1647,1536,714,221,19,0,10601,769,836,1198,1507,1551,1787,1738,780,376,56,3
2022,12,읍면동,경기도 광명시 소하1동,30983,2498,4202,3602,3453,5775,5057,3872,1703,708,110,3,15066,1269,2155,1855,1660,2720,2527,1797,795,261,27,0,15917,1229,2047,1747,1793,3055,2530,2075,908,447,83,3
2022,12,읍면동,경기도 광명시 소하2동,27785,1611,2799,3498,3205,4269,4918,4312,2112,933,124,4,13858,822,1448,1914,1743,2135,2463,2033,938,328,32,2,13927,789,1351,1584,1462,2134,2455,2279,1174,605,92,2
2022,12,읍면동,경기도 광명시 일직동,21675,2463,2148,3045,4290,4251,3175,1695,408,159,40,1,10852,1289,1072,1447,2108,2138,1647,884,205,50,11,1,10823,1174,1076,1598,2182,2113,1528,811,203,109,29,0
2022,12,읍면동,경기도 광명시 철산1동,10698,714,1342,1390,1436,1908,1833,1284,531,234,26,0,5300,350,723,719,741,885,904,635,247,93,3,0,5398,364,619,671,695,1023,929,649,284,141,23,0
2022,12,읍면동,경기도 광명시 철산2동,5619,175,352,792,714,738,1157,1006,429,226,29,1,3019,83,184,425,423,405,641,553,212,87,6,0,2600,92,168,367,291,333,516,453,217,139,23,1
2022,12,읍면동,경기도 광명시 철산3동,37578,3248,4718,4495,4360,6979,6280,4701,1831,841,121,4,18396,1603,2420,2325,2090,3316,3104,2300,895,315,27,1,19182,1645,2298,2170,2270,3663,3176,2401,936,526,94,3
2022,12,읍면동,경기도 광명시 철산4동,11834,861,1068,1374,2034,2021,1952,1497,721,271,33,2,5913,454,550,730,1039,995,994,722,331,90,7,1,5921,407,518,644,995,1026,958,775,390,181,26,1
2022,12,읍면동,경기도 광명시 하안1동,25504,1930,3135,2960,2810,4706,4423,3362,1445,622,105,6,12717,1016,1594,1570,1433,2265,2240,1666,698,209,26,0,12787,914,1541,1390,1377,2441,2183,1696,747,413,79,6
2022,12,읍면동,경기도 광명시 하안2동,13494,841,899,1614,2458,2189,2159,1819,860,557,96,2,6323,417,442,809,1275,1073,1022,770,349,149,17,0,7171,424,457,805,1183,1116,1137,1049,511,408,79,2
2022,12,읍면동,경기도 광명시 하안3동,19386,1236,1649,2258,2682,3100,3263,2711,1464,884,130,9,9156,671,848,1113,1359,1544,1571,1226,547,248,27,2,10230,565,801,1145,1323,1556,1692,1485,917,636,103,7
2022,12,읍면동,경기도 광명시 하안4동,12178,850,1267,1580,1978,2093,2101,1387,596,284,41,1,5905,444,653,794,1033,984,1023,624,245,98,7,0,6273,406,614,786,945,1109,1078,763,351,186,34,1
2022,12,읍면동,경기도 광명시 학온동,2016,56,76,185,183,211,369,503,235,170,26,2,1132,29,46,107,108,133,220,276,134,74,5,0,884,27,30,78,75,78,149,227,101,96,21,2
2022,12,시군,경기도 광주시 ,391704,31834,35029,43691,54568,68901,66609,55062,24444,10157,1356,53,199833,16218,17905,23265,28406,36275,34220,27400,11875,3984,278,7,191871,15616,17124,20426,26162,32626,32389,27662,12569,6173,1078,46
2022,12,읍면동,경기도 광주시 경안동,29466,2808,2547,3647,4636,4912,4640,3710,1746,743,75,2,15133,1434,1336,1948,2387,2581,2515,1863,799,259,11,0,14333,1374,1211,1699,2249,2331,2125,1847,947,484,64,2
2022,12,읍면동,경기도 광주시 곤지암읍,22772,1194,1709,2638,2631,3360,4504,3974,1736,888,136,2,12190,630,921,1434,1479,1829,2503,2150,873,342,29,0,10582,564,788,1204,1152,1531,2001,1824,863,546,107,2
2022,12,읍면동,경기도 광주시 광남1동,34160,2370,2671,4185,4682,5710,6224,5228,2189,791,105,5,17482,1226,1394,2214,2460,3068,3123,2576,1080,322,19,0,16678,1144,1277,1971,2222,2642,3101,2652,1109,469,86,5
2022,12,읍면동,경기도 광주시 광남2동,33344,4549,4340,2842,4979,7470,4340,2965,1334,455,67,3,16519,2279,2206,1509,2312,3763,2228,1354,657,199,12,0,16825,2270,2134,1333,2667,3707,2112,1611,677,256,55,3
2022,12,읍면동,경기도 광주시 남종면,1477,24,59,98,90,127,261,434,222,136,24,2,781,13,27,56,53,66,153,238,111,57,7,0,696,11,32,42,37,61,108,196,111,79,17,2
2022,12,읍면동,경기도 광주시 남한산성면,2379,124,164,156,193,303,397,533,298,183,24,4,1239,64,87,85,96,164,222,291,151,74,4,1,1140,60,77,71,97,139,175,242,147,109,20,3
2022,12,읍면동,경기도 광주시 능평동,23513,2091,1655,2553,3944,4367,3583,3225,1454,551,87,3,11730,1053,848,1364,2068,2295,1719,1457,699,212,15,0,11783,1038,807,1189,1876,2072,1864,1768,755,339,72,3
2022,12,읍면동,경기도 광주시 도척면,9461,390,612,943,934,1289,1890,1965,897,453,85,3,5192,204,325,539,556,757,1051,1097,465,174,22,2,4269,186,287,404,378,532,839,868,432,279,63,1
2022,12,읍면동,경기도 광주시 송정동,21609,1328,1949,2607,2648,3571,4010,3358,1477,586,72,3,10947,668,919,1394,1415,1875,2064,1654,719,222,17,0,10662,660,1030,1213,1233,1696,1946,1704,758,364,55,3
2022,12,읍면동,경기도 광주시 신현동,36956,3256,2378,4358,7164,6985,5527,4568,1893,714,111,2,18395,1632,1245,2260,3740,3686,2540,2091,893,288,20,0,18561,1624,1133,2098,3424,3299,2987,2477,1000,426,91,2
2022,12,읍면동,경기도 광주시 쌍령동,18130,1711,1606,2165,2587,3186,3143,2375,962,351,41,3,9070,900,767,1147,1330,1635,1503,1155,475,149,9,0,9060,811,839,1018,1257,1551,1640,1220,487,202,32,3
2022,12,읍면동,경기도 광주시 오포1동,21207,2091,1618,2077,3244,3801,3485,2931,1336,552,70,2,10944,1071,846,1111,1681,2083,1795,1474,641,223,19,0,10263,1020,772,966,1563,1718,1690,1457,695,329,51,2
2022,12,읍면동,경기도 광주시 오포2동,34293,3087,3930,3847,4452,6466,5738,3954,1913,807,95,4,17406,1592,2003,1973,2229,3381,2983,2022,888,314,19,2,16887,1495,1927,1874,2223,3085,2755,1932,1025,493,76,2
2022,12,읍면동,경기도 광주시 초월읍,48404,3381,4981,5652,6233,8275,8709,6726,2927,1345,168,7,25087,1757,2528,3028,3255,4386,4657,3510,1423,512,30,1,23317,1624,2453,2624,2978,3889,4052,3216,1504,833,138,6
2022,12,읍면동,경기도 광주시 탄벌동,38657,2519,3504,4735,4755,6587,7425,5906,2289,847,85,5,19636,1240,1760,2544,2589,3386,3721,2927,1117,333,18,1,19021,1279,1744,2191,2166,3201,3704,2979,1172,514,67,4
2022,12,읍면동,경기도 광주시 퇴촌면,15876,911,1306,1188,1396,2492,2733,3210,1771,755,111,3,8082,455,693,659,756,1320,1443,1541,884,304,27,0,7794,456,613,529,640,1172,1290,1669,887,451,84,3
2022,12,시군,경기도 구리시 ,188876,12826,17079,24493,24297,30660,34343,26886,12008,5581,684,19,93537,6631,8771,12543,12308,15369,16785,13394,5415,2135,182,4,95339,6195,8308,11950,11989,15291,17558,13492,6593,3446,502,15
2022,12,읍면동,경기도 구리시 갈매동,30120,3940,2642,2820,4756,6313,4023,3523,1545,477,78,3,14862,2048,1309,1399,2215,3331,1929,1676,757,182,16,0,15258,1892,1333,1421,2541,2982,2094,1847,788,295,62,3
2022,12,읍면동,경기도 구리시 교문1동,15751,608,993,2021,2011,2277,3044,2797,1296,638,63,3,8115,313,498,1074,1102,1252,1563,1439,614,245,15,0,7636,295,495,947,909,1025,1481,1358,682,393,48,3
2022,12,읍면동,경기도 구리시 교문2동,21307,1381,2498,2761,2337,3527,3856,2998,1254,616,75,4,10325,720,1243,1433,1118,1659,1842,1448,584,254,24,0,10982,661,1255,1328,1219,1868,2014,1550,670,362,51,4
2022,12,읍면동,경기도 구리시 동구동,36545,2275,3614,5070,4359,5590,7211,4948,2153,1163,160,2,17960,1168,1929,2629,2221,2668,3408,2501,937,454,44,1,18585,1107,1685,2441,2138,2922,3803,2447,1216,709,116,1
