행정구역,행정구역별(시군구),성별,합계,15세미만,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
부산광역시,사상구,계,201466,17998,7274,12273,15077,12111,11701,13395,14006,17979,19675,21661,15494,10574,6462,3883,1903
부산광역시,사상구,남자,100572,9204,3746,5957,8182,6573,6176,7106,7194,8665,9752,10658,7476,4967,2899,1495,522
부산광역시,사상구,여자,100894,8794,3528,6316,6895,5538,5525,6289,6812,9314,9923,11003,8018,5607,3563,2388,1381
부산광역시,기장군,계,167290,27859,7191,6581,8308,9728,13725,16925,14708,12986,10902,11769,9568,7069,4915,3192,1864
부산광역시,기장군,남자,82210,14248,3719,3274,4335,4833,6701,8488,7560,6644,5384,5447,4339,3287,2168,1225,558
부산광역시,기장군,여자,85080,13611,3472,3307,3973,4895,7024,8437,7148,6342,5518,6322,5229,3782,2747,1967,1306
대구광역시,대구광역시,계,2301255,270922,102309,133792,155277,132776,145840,171694,190020,213379,196660,192416,142921,101993,70809,50388,30059
대구광역시,대구광역시,남자,1127448,139212,53087,65311,82715,70936,74149,84772,92953,103450,96095,92762,66712,46141,30170,19350,9633
대구광역시,대구광역시,여자,1173807,131710,49222,68481,72562,61840,71691,86922,97067,109929,100565,99654,76209,55852,40639,31038,20426
대구광역시,중구,계,70569,7241,2299,4226,6505,5064,5195,4904,5011,5444,4990,5251,4401,3664,2994,2095,1285
대구광역시,중구,남자,33624,3731,1098,1795,3162,2563,2691,2526,2475,2645,2450,2485,1953,1541,1263,815,431
대구광역시,중구,여자,36945,3510,1201,2431,3343,2501,2504,2378,2536,2799,2540,2766,2448,2123,1731,1280,854
대구광역시,동구,계,324913,36286,11720,15737,21263,20135,21492,24086,24428,27364,26977,28805,23230,17425,12329,8658,4978
대구광역시,동구,남자,158550,18567,6162,7736,11165,10730,11186,12276,12435,13291,12940,13418,10596,7803,5250,3371,1624
대구광역시,동구,여자,166363,17719,5558,8001,10098,9405,10306,11810,11993,14073,14037,15387,12634,9622,7079,5287,3354
대구광역시,서구,계,158605,11212,5161,7972,10980,8326,8067,9332,11261,14733,16573,17290,13868,9945,6844,4598,2443
대구광역시,서구,남자,78613,5731,2721,3966,6084,4825,4448,5041,5936,7328,8153,8250,6239,4512,2881,1762,736
대구광역시,서구,여자,79992,5481,2440,4006,4896,3501,3619,4291,5325,7405,8420,9040,7629,5433,3963,2836,1707
대구광역시,남구,계,138310,10000,4517,8614,10977,8326,8019,8703,9864,11831,11463,12935,10973,8370,6187,4663,2868
대구광역시,남구,남자,66240,5192,2347,3880,5597,4450,4165,4431,4929,5836,5485,5954,4975,3646,2594,1807,952
대구광역시,남구,여자,72070,4808,2170,4734,5380,3876,3854,4272,4935,5995,5978,6981,5998,4724,3593,2856,1916
대구광역시,북구,계,426166,51296,20454,30179,30070,24842,26809,31603,37095,40869,35809,33315,23123,16436,11678,8065,4523
대구광역시,북구,남자,211328,26354,10439,15095,16557,13366,13786,15633,17984,20117,17775,16505,10960,7398,4878,3074,1407
대구광역시,북구,여자,214838,24942,10015,15084,13513,11476,13023,15970,19111,20752,18034,16810,12163,9038,6800,4991,3116
대구광역시,수성구,계,399231,51517,23022,22256,23227,18344,21798,30935,37314,40361,33332,30764,22991,16777,11852,8820,5921
대구광역시,수성구,남자,192075,26659,12201,10891,12236,9503,10161,13988,17126,19327,16321,14810,10756,7467,5114,3513,2002
대구광역시,수성구,여자,207156,24858,10821,11365,10991,8841,11637,16947,20188,21034,17011,15954,12235,9310,6738,5307,3919
대구광역시,달서구,계,531934,61578,25414,33860,37320,29906,32047,38760,44930,52381,48353,45683,31686,21020,13631,9636,5729
대구광역시,달서구,남자,260531,31639,13051,16354,19769,16227,16147,18825,21580,24948,23580,22276,15088,9767,5873,3626,1781
대구광역시,달서구,여자,271403,29939,12363,17506,17551,13679,15900,19935,23350,27433,24773,23407,16598,11253,7758,6010,3948
대구광역시,달성군,계,251527,41792,9722,10948,14935,17833,22413,23371,20117,20396,19163,18373,12649,8356,5294,3853,2312
대구광역시,달성군,남자,126487,21339,5068,5594,8145,9272,11565,12052,10488,9958,9391,9064,6145,4007,2317,1382,700
대구광역시,달성군,여자,125040,20453,4654,5354,6790,8561,10848,11319,9629,10438,9772,9309,6504,4349,2977,2471,1612
인천광역시,인천광역시,계,2813245,347670,122714,150602,205552,186044,204328,229564,233896,253085,240935,231792,153550,99862,72596,48589,32466
인천광역시,인천광역시,남자,1395888,178433,62225,71155,106488,96267,104645,117307,118276,124422,119548,115124,74386,47271,31848,18727,9766
인천광역시,인천광역시,여자,1417357,169237,60489,79447,99064,89777,99683,112257,115620,128663,121387,116668,79164,52591,40748,29862,22700
인천광역시,중구,계,133545,18071,5177,5801,10997,10239,10630,12076,11708,10825,9136,9116,7085,5052,3788,2309,1535
인천광역시,중구,남자,68526,9269,2672,2654,5644,5677,5599,6376,6429,5956,4833,4567,3394,2319,1749,920,468
인천광역시,중구,여자,65019,8802,2505,3147,5353,4562,5031,5700,5279,4869,4303,4549,3691,2733,2039,1389,1067
인천광역시,동구,계,59297,5800,2297,2776,3162,3040,3624,4620,4790,4911,4744,5544,4607,3486,2847,1863,1186
인천광역시,동구,남자,29520,2995,1169,1347,1710,1655,1918,2472,2540,2595,2446,2681,2180,1521,1232,736,323
인천광역시,동구,여자,29777,2805,1128,1429,1452,1385,1706,2148,2250,2316,2298,2863,2427,1965,1615,1127,863
인천광역시,연수구,계,373587,58647,18731,20106,25187,25039,30249,33631,33329,33454,30000,26504,15638,8964,6418,4499,3191
인천광역시,연수구,남자,184200,30004,9443,9470,13048,12334,14753,16491,16289,16283,14758,13648,7940,4261,2883,1678,917
인천광역시,연수구,여자,189387,28643,9288,10636,12139,12705,15496,17140,17040,17171,15242,12856,7698,4703,3535,2821,2274
인천광역시,남동구,계,498113,62264,21933,26404,36321,31967,35645,42113,42089,44806,42065,41274,27649,17857,12606,8020,5100
인천광역시,남동구,남자,245344,31987,11096,12207,18717,16578,18136,21266,21327,21754,20712,20003,13123,8441,5461,3066,1470
인천광역시,남동구,여자,252769,30277,10837,14197,17604,15389,17509,20847,20762,23052,21353,21271,14526,9416,7145,4954,3630
인천광역시,부평구,계,467932,49602,19634,25185,36517,32218,32498,35384,37292,43073,42759,41324,27154,17825,12850,8799,5818
인천광역시,부평구,남자,228973,25497,10020,11643,18510,16576,16705,18047,18467,20498,20919,20234,12906,8348,5563,3250,1790
인천광역시,부평구,여자,238959,24105,9614,13542,18007,15642,15793,17337,18825,22575,21840,21090,14248,9477,7287,5549,4028
인천광역시,계양구,계,281706,28870,12348,16447,22301,18226,18077,20164,22835,28364,29343,26719,15277,8828,6320,4534,3053
인천광역시,계양구,남자,138706,14696,6202,7727,11515,9448,9400,10142,11192,13386,14331,13559,7671,4304,2610,1650,873
인천광역시,계양구,여자,143000,14174,6146,8720,10786,8778,8677,10022,11643,14978,15012,13160,7606,4524,3710,2884,2180
인천광역시,서구,계,528323,77213,25121,27090,37179,35960,42722,47329,46567,48511,43621,38567,23810,14508,9683,6257,4185
인천광역시,서구,남자,264426,39691,12743,12637,19059,18153,21720,24306,23526,24145,22056,19758,11787,7018,4286,2337,1204
인천광역시,서구,여자,263897,37522,12378,14453,18120,17807,21002,23023,23041,24366,21565,18809,12023,7490,5397,3920,2981
인천광역시,남구,계,390747,40753,15241,24199,30739,26355,27635,30236,30484,32956,31405,32756,24155,17162,12914,8493,5264
인천광역시,남구,남자,195429,20941,7723,11933,16418,14153,14742,16021,15828,16530,15472,15677,11281,7965,5687,3404,1654
인천광역시,남구,여자,195318,19812,7518,12266,14321,12202,12893,14215,14656,16426,15933,17079,12874,9197,7227,5089,3610
인천광역시,강화군,계,62388,5095,1782,1915,2252,2185,2462,3065,3751,4841,6026,7769,6378,4945,4198,3182,2542
인천광역시,강화군,남자,31027,2659,899,1036,1280,1182,1220,1624,2022,2479,2985,3798,3155,2458,1925,1418,887
인천광역시,강화군,여자,31361,2436,883,879,972,1003,1242,1441,1729,2362,3041,3971,3223,2487,2273,1764,1655
인천광역시,옹진군,계,17607,1355,450,679,897,815,786,946,1051,1344,1836,2219,1797,1235,972,633,592
인천광역시,옹진군,남자,9737,694,258,501,587,511,452,562,656,796,1036,1199,949,636,452,268,180
인천광역시,옹진군,여자,7870,661,192,178,310,304,334,384,395,548,800,1020,848,599,520,365,412
광주광역시,광주광역시,계,1409089,187117,71978,91617,102764,82898,96810,112773,121026,126394,109002,102828,69408,53955,39086,25920,15513
광주광역시,광주광역시,남자,694784,96264,36656,43166,53386,42551,49009,55864,60401,62912,54545,49943,32919,24617,17266,10328,4957
광주광역시,광주광역시,여자,714305,90853,35322,48451,49378,40347,47801,56909,60625,63482,54457,52885,36489,29338,21820,15592,10556
광주광역시,동구,계,101928,10371,3601,7721,8007,6536,6871,6768,6721,7652,7601,8389,6732,5595,4454,3100,1809
광주광역시,동구,남자,50391,5329,1833,3830,4167,3343,3581,3601,3478,3802,3727,4008,3085,2517,1975,1381,734
광주광역시,동구,여자,51537,5042,1768,3891,3840,3193,3290,3167,3243,3850,3874,4381,3647,3078,2479,1719,1075
광주광역시,서구,계,284063,34233,14288,17873,22109,16304,18380,22023,24880,27058,22948,21583,14662,11263,8041,5256,3162
광주광역시,서구,남자,138906,17800,7469,8239,11117,8397,9191,10745,12031,13356,11371,10349,6961,5155,3555,2117,1053
광주광역시,서구,여자,145157,16433,6819,9634,10992,7907,9189,11278,12849,13702,11577,11234,7701,6108,4486,3139,2109
광주광역시,남구,계,208935,27830,10289,12242,13330,10954,13745,16540,16888,17261,15673,16765,12382,10041,7258,4816,2921
광주광역시,남구,남자,100358,14059,5050,5694,6773,5544,6656,8094,8450,8349,7471,7718,5765,4506,3305,1997,927
광주광역시,남구,여자,108577,13771,5239,6548,6557,5410,7089,8446,8438,8912,8202,9047,6617,5535,3953,2819,1994
광주광역시,북구,계,418262,51543,19900,26887,31456,25515,28383,31293,33706,36946,34149,33504,22573,17359,12366,7948,4734
광주광역시,북구,남자,206983,26656,10321,12768,16556,13178,14763,15669,16963,18148,16843,16134,10771,8068,5472,3188,1485
광주광역시,북구,여자,211279,24887,9579,14119,14900,12337,13620,15624,16743,18798,17306,17370,11802,9291,6894,4760,3249
